Mz,RT,Mode,Adduct,Neutral_Mass,Library_Match,KEGG_ID,Compound_Name,Exact_Mass,PPM_Error,Formula,SMILES,PubChem_CID,ChEBI_ID,Pathways
664.3861,52.5981,POS,[M+H]+,663.3788235331201,KEGG,C13900,1-Palmitoyl-2-(5-keto-6-octenedioyl)-sn-glycero-3-phosphocholine,663.3747,-6.14209102795873,,,854145,34121,
664.3861,57.9961,POS,[M+H]+,663.3788235331201,KEGG,C13900,1-Palmitoyl-2-(5-keto-6-octenedioyl)-sn-glycero-3-phosphocholine,663.3747,-6.14209102795873,,,854145,34121,
665.3994,61.9902,POS,[M+H]+,664.3921235331201,KEGG,C08968,Phytolaccoside B,664.3823,-14.841435909365826,,,11160,8194,
665.3994,73.058,POS,[M+H]+,664.3921235331201,KEGG,C08968,Phytolaccoside B,664.3823,-14.841435909365826,,,11160,8194,
665.4106,57.2225,POS,[M+NH4]+,647.3767770000001,KEGG,C13902,1-Palmitoyl-2-(5-keto-8-oxo-6-octenoyl)-sn-glycero-3-phosphocholine,647.3798,4.7221341705602065,,,854147,34122,
681.4201,24.5036,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,39.7931,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,63.6571,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,73.1249,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
681.4201,78.2408,POS,[M+Na]+,658.430882,KEGG,C08596,Fucoxanthin,658.4233,-11.45450525806896,,,10789,5186,
697.2164,19.001,POS,[M+H]+,696.2091235331201,KEGG,C12032,Clorobiocin,696.2086,-0.769213016624558,,,14187,47302,map00401;map01110
697.47,74.4097,POS,[M+Na]+,674.480782,KEGG,C13889,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphate,674.4887,11.674165091356537,,,854134,64844,
699.5331,75.3146,NEG,[M+HCOO]-,654.534886,KEGG,C05811,2-Octaprenyl-6-hydroxyphenol,654.5376,4.1174275927242014,,,8106,1233,
708.4094,28.4384,POS,[M+NH4]+,690.375577,KEGG,C09193,Gabunamine,690.3781,3.6849507495591496,,,11385,5238,
708.421,55.2836,POS,[M+NH4]+,690.3871770000001,KEGG,C09193,Gabunamine,690.3781,-13.117277234858808,,,11385,5238,
708.4559,61.2098,POS,[M+Na]+,685.466682,KEGG,C00773,Pepstatin,685.4626,-5.98570303667425,,,4035,7989,
708.4559,70.6327,POS,[M+Na]+,685.466682,KEGG,C00773,Pepstatin,685.4626,-5.98570303667425,,,4035,7989,
717.5964,77.3666,POS,[M+H]+,716.5891235331201,ChEBI,,N-octadecanoyl-15-methylhexadecasphingosine-1-phosphocholine,716.58322,-8.238379464906059,C40H81N2O6P,CCCCCCCCCCCCCCCCCC(=O)N[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)[C@H](O)/C=C/CCCCCCCCCC(C)C,,CHEBI:119713,
738.4717,73.7597,POS,[M-H2O+H]+,719.4538590000001,KEGG,C06616,Erythromycin C,719.4456,-11.492050388798711,,,8842,64273,map00522;map01100;map01110
740.502,64.9697,POS,[M+K]+,701.5388419999999,KEGG,C13878,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonoethanolamine,701.5359,-4.1351951257342305,,,854123,34085,
759.2611,89.7079,POS,[M+NH4]+,741.2272770000001,KEGG,C12645,Pelargonidin 3-O-rutinoside 5-O-beta-D-glucoside,741.2242,-4.1458269217011186,,,583035,31969,map00942
763.6226,80.8932,POS,[M-H2O+H]+,744.6047590000001,KEGG,C13876,1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphonocholine,744.5907,-18.859669952787833,,,854121,34084,
797.5081,69.7486,POS,[M+Na]+,774.518882,KEGG,C11313,Oligomycin C,774.5282,12.029403306412886,,,13488,7752,
817.4958,25.8565,POS,[M-H2O+H]+,798.477959,KEGG,C08985,Thalicoside A,798.4766,-1.755840576807041,,,11177,9510,
